recognize," vt. 认出,认可,承认,意识到,表示感激"
photo," n. 照片
vt. &vi. 拍照
adj. 摄影的"
engine," n. 发动机, 引擎, 机车, 火车头
vt. 装引擎"
cloak," n. 斗蓬, 宽大外衣, 掩护
v. 遮掩, 隐匿"
third," adj. 第三(的)
n. 三分之一
num. 第三"
hell, n. 地狱
sponsor," n. 保证人, 赞助者
v. 发起, 赞助"
leg," n. 腿, 支柱, 裤脚管
vi. 用脚走路"
security," n.安全； 保证，担保； 保护，防护； 有价证券
adj.安全的，保安的，保密的"
occurrence," n. 发生,事件,发现"
appear," vi. 出现,显得,出版,抵达"
mouthful," n. 满口, 一口"
dissolve," vt. 消除,解散,使溶解,解决(问题),使沮丧
vi. 消散,溶解, 解散, 液化,变得模糊
n. 叠化画面"
occupy," vt. 占领,占,住进"
adjustment, n. 调整
weapon," n. 武器, 兵器"
magazine, n. 杂志
target," n.（服务的）对象； 目标； （射击的）靶子； 目的
vt.瞄准； 把…作为攻击目标"
profile," n.侧面，半面； 外形，轮廓； [航]翼型； 人物简介
vt.描…的轮廓； 给…画侧面图； 为（某人）写传略； [机]铣出…的轮廓"
orthodox, adj. 正(传)统的
exhibition," n. 展览,展览会"
hasty," adj. 匆匆的, 轻率的, 急忙的"
extend," v. 扩充, 延伸, 伸展, 扩展"
projector," n. 放映机(探照灯, 发射装置, 设计者, 制图投射线)"
by," prep. 被, 经由, 在...之前, 根据
adv. 靠近, 经过, 放在一旁地
adj. 在旁边的, 附带的
n. 次要的事件"
composition," n. 作文,著作,组织,合成物，成份"
acquaintance," n. 熟人,相识,了解"
outdoor, adj. 户外的，野外的，露天的
reservoir," n. 水库,蓄水池,积蓄,储藏"
carpet," n. 地毯,毛毯
vt. 铺以地毯,铺盖"
frost," n. 霜,冰冻,冷漠
vt. &vi. 覆着霜,冻结,结霜"
swim, 游泳
ruthless," adj. 残忍的, 无情的"
step," n. 步骤,步伐,踏级
vt. 踏,以步测量"
flatter," vt.& vi. 阿谀奉承, 取悦, 炫耀
n. 平整工具"
jog," n. 轻推,轻撞,漫步
vt.& vi. 轻推,蹒跚行进,慢跑"
deck," n. 甲板,桥面,楼层
vt. 装饰"
circumstance," n. 环境,(复数)境况,事件,详情"
flow," vi.流； 垂； 流出； （谈话、文体等）流畅
n.流动； 滔滔不绝； 涨潮； 连贯
vt.使泛滥； 淹没； 排出"
refuse," n.废物,垃圾
vt. &vi. 拒绝
adj. 无用的"
irregularity," n. 不规则性，不规则的事物
n. 便秘"
fee," n. 费用,封地"
harness," n. 马具,系在身上的绳子,甲胄
vt. 束以马具,披上甲胄,利用(产生动力)"
recession," n. 后退,凹入的地方,不景气"
attorney, n. (辩护)律师
publicity," n. 公众的注意,宣传,宣扬,宣传品,广告"
boycott, vt. 抵制（贸易），拒绝参加
tuck," n. 缝摺,船尾突出部下方,食品,鼓声
vt. 打摺,卷起,挤进,畅饮
vi. 缝褶裥,缩拢,畅饮"
unhappy," adj. 不快乐的,不幸的,不适当的"
calculating," adj. 深谋远虑的, 精明的，计算的
动词calculate的现在分词"
expel," vt. 驱逐,逐出,开除"
sweetness," n. 美味, 芳香, 美妙"
wavelength," n. 波长, 波段"
diet," n. 日常饮食，规定饮食
vt. 照规定饮食
adj. 低卡路里的"
tailor," n. 裁缝师,成衣匠
vt. 缝制,适应,试穿,修改
vi. 做裁缝"
mercy," n. 怜悯, 宽恕, 仁慈, 恩惠, 幸运"
dominant," adj. 占优势的，主导的，显性的
n. 主宰者"
chemical," adj. 化学的
n. 化学制品"
basic," adj.基本的； [化学]碱性的； [地质学]基性的； 首要的
n.基础，基本； 基本原则，基本原理，基本规律； 要素； 基础训练"
disagree," v. 不一致, 有分歧，不适应，不适宜"
tend," vt.照料，照顾； 护理； 照管，管理
vi.倾向（于），趋向（于）； 伺侯，招待； 关心； 注意"
nominal," adj. 名义上的,有名无实的,名词性的
n. 名词词组"
staff," n.参谋； 全体职员； 管理人员； 权杖
adj.行政工作的； 参谋的； 职员的； 作为正式工作人员的
v.在…工作； 为…配备职员； 任职于"
robbery, n. 抢劫
masterpiece, n. 杰作
extremely," adv. 极其, 非常"
editorial," n. 社论
adj. 编辑的"
ruler," n. 尺子
n. 统治者"
surpass," vt. 超越,凌驾,胜过"
eloquent," adj. 雄辩的, 有口才的, 动人的"
sphere," adj. 球体的
n. 范围, 领域, 球, 球体"
portrait," n. 肖像,画像
adj. (文件页面)竖的"
straightforward," adj. 笔直的, 率直的"
sheet," n. 床单,张,片
vt. 盖上被单,遍布, 使成片状
vi. 成片落下或流动
adj. 片状的"
maintain," vt. 维持; 维修, 保养; 坚持; 断言"
lamb," n. 羔羊,小羊,羔羊肉,温顺的人
vt. &vi. 产羊羔"
unusually," adv. 异乎寻常地(显著地,非常)"
acquisition, n.获得； 购置物； 获得物； 收购
jury," n. [法] 陪审团；评判委员会
adj. 应急的"
application, n.适用，应用，运用； 申请，请求，申请表格； 勤勉，用功； 敷用，敷用药
determination," n. (正式)决定,规定,决心,测定, 定位"
hearing," n. 听力，听觉，说话或申辩的机会，审讯，听证会
动词hear的现在分词"
rid," vt. 免除,清除,使...获自由"
shy," adj. 害羞的,胆怯的,迟疑的
vi. 惊退,畏缩,乱投
vt. 乱投
n. 投掷,惊避"
furrier," n. 毛皮商, 毛皮衣制作工"
aside," n. 旁白,顺便说的话
adv. 在一边,另外,离开"
experimentation," n. 实验, 试验"
upset," adj. 心烦的
vt. 加厚,推翻,扰乱
vi. 推翻
n. 推翻,混乱"
us, pron. 我们(we的宾格)
Europe, n. 欧洲
murder," n. 谋杀,危险物
vt. 谋杀,折磨,损坏
vi. 谋杀"
genuine," adj. 真正的,真实的,诚恳的"
neighbor," n. 邻居
v. 邻接, 毗邻而居, 友好"
royalty," n. 皇家, 皇族
n. 版税"
vice," n. 恶习,恶行,罪恶,缺陷,恶癖,老虎钳
vt. 钳住
prep. 代替,副,次"
forefather, n. 祖先，先辈
Roman," adj. 罗马的，罗马帝国的
n. 罗马人，罗马天主教会，罗马文字"
paralyze," vt. 使...瘫痪, 使目瞪口呆"
renew," vt. 使更新,复始,使恢复,补充
vi. 更新,重新开始"
pink," adj. 粉红色的,激进的
n. 粉红色,石竹花,典范
vt. 刺"
marine," n. (海军)士兵或军官, 海景画
adj. 海的,海事的,船舶的,航海的"
junction," n. 联接, 会合处, 交叉点"
adjacent," adj. 毗连的,邻近的,接近的"
reptile," adj. 爬虫类的
n. 爬行动物"
refresh," vt.& vi. 使...生气蓬勃,提起精神,恢复精神"
polish," n. 磨光，擦亮；擦亮剂；优雅，精良
vi. 擦亮，变光滑
vt. 磨光，使发亮；使完美; 改进
v. 磨光；修改；润色
adj. 波兰的"
effort," n. 努力, 努力的成果"
completion," n. 完成,完满"
behavior," n. 行为,举止"
sore," adj. 疼痛的,痛心的
n. 痛处,疮口"
province," n. 省, 范围"
child, n.小孩，孩子； 幼稚的人； 产物； 弟子
item," n. 项目,条款， 一件商品（或物品）
adv. 也"
fortune," n. 财产,命运,运气"
inhabit," v. 居住于, 占据, 栖息"
exhaust," n. 排气,排气装置
v. 用尽,耗尽,使...精疲力尽
[计算机] 排除"
volume," n. 体积, 容量, 音量
n. 卷, 册"
bud," n. 芽, 花蕾
vi. 发芽, 萌芽
vt. 使发芽"
emperor, n. 皇帝
living-room, n. 起居室
confusion," n. 混乱,混淆,不确定状态"
great," adj. 大量的, 很好的, 美好的, 伟大的, 重要的
adv. (口语)好极了"
out,"vt. adj. 外面的,向外的,落伍的,不做考虑的
adv. 向外,离岸,外出,出局,出去,用尽,完成,出现,结束
vt. 释放出,揭露
vi. 揭发
prep. 向外,通过
n. 外面,在野者,下台者,出局的一击"
cooperate," vi. 合作,协力"
miner, n. 矿工
snowstorm, n. 暴风雪；雪暴
declare," vt. &vi. 宣布,声明,申报"
drawback," n. 不利点,退税"
mad," adj.发疯的,狂热的,着迷的,生气的
vt.& vi. 发怒
n. 发怒"
misery," n. 痛苦,悲惨的境遇,苦难"
piano," n. 钢琴
adj. &adv. 轻柔的"
international," adj. 国际的
n. 国际组织"
dew, n. 露水
shepherd," n. 牧羊者, 牧师, 指导者
v. 看守, 领导, 指导"
sunny," adj. 阳光充足的,晴朗的,明媚的"
area," n. 地区, 区域, 面积, 方面"
outside," adv. 在外面
n.&amp;adj. 外部
prep. 在...外
pron. 在...外边"
striking," adj. 引人注目的,显著的,罢工的,打击的
n. 打击"
flight," n.（物体的）飞行； 航班； 飞翔； 楼梯的一段
vi.成群地迁徙或飞行
vt.射击； 使惊飞"
hint," n. 暗示,提示,小部分
vt. &vi. 暗示,示意"
musician, n. 音乐家，作曲家
conception," n. 概念,观念,构想,怀孕"
quantity," n. 量,数量,大量"
worth," adj.值得的； 有…的价值； 等值的； 有…的财产
n.财富，财产； 价"
voluntary," adj. 自愿的, 志愿的
n. (教堂礼拜仪式前后或进行期间的)乐器独奏"
system," n. 系统,体系,制度,体制"
somewhat," adv.稍微； 有点； 达到某种程度
n.少量； 某些数量； 某种程度"
complete," adj. 彻底的, 完整的, 已完成的
vt. 完成; 使圆满, 使完美"
nuisance," n. 讨厌的东西,讨厌的人,伤害"
allocate," v. 分派, 分配, 分配额"
squabble," v. （为琐事）争论，口角 
n. 争论，口角"
cash," n. 现金
vt. 兑现,付现款
adj. 现金的"
overhear," v. 无意中听到, 偷听"
fun," n. 乐趣,玩笑,有趣的人或事物
vi. 开玩笑
adj. 充满乐趣的,令人愉悦的"
include," v. 包括,包含,连...在内
[计算机] 包括"
prolong," vt. 延长,拖延"
stain," n. 污染,污点,著色
v. 沾染,染污,著色"
reasonable," adj. 合理的,有道理的,适度,通情达理的
adv. 合理地"
unity," n. 个体, 一致, 结合"
naturally," adv. 自然地,天生地"
vowel," n. 母音, 元音"
gate, n. 大门
burn," n. 烧伤,灼伤
vt. &vi. 燃烧,烧着,烧毁,灼伤"
filter," n. 筛选,滤波器,过滤器,滤色镜
vt. &vi. 过滤,渗透
[计算机] 过滤"
reach," n. 延伸,范围,河段
vt. 到达,伸出,延伸,取得联系
vi. 延伸"
ambassador, n. 大使
isotope, n. 同位素
excursion," n. 远足, 短途旅行"
axis," n. 轴,中枢"
tactic," n. 战略,策略
adj. 战术的,有策略的"
accustom, v. 使...习惯
modern," adj. 现代的,时髦的
n. 现代人,时尚人士"
appearance," n. 外表,出现,出场"
expensive," adj. 昂贵的,豪华的"
seaport, n. 海港
construction, n. 建设，建造，结构，构造
shoulder," n. 肩膀, 角度, 交接处
vt. 肩负,承担,用肩推挤
vi. 用肩推挤"
control," n. 克制,控制,管制,操作装置
vt. 控制,掌管,支配"
heritage," n. 遗产, 继承物"
Britain," n. 不列颠, 英国"
delivery," n. 递送, 交付, 分娩"
super," adj. 超级的,极好的
n. 警官,管理人
adv. 特别,格外"
concentration," n. 集中, 专心, 浓度"
collision," n. 碰撞, 冲突"
thickness," n. 厚度, 一层, 含混不清"
twice," adv. 两倍, 两次"
molecule, n. 分子
classroom, n. 教室，课堂
difference," n. 差异,分歧
vt. 引起区别"
dynasty," n. 朝代, 王朝"
enthusiastic," adj. 热情的, 热心的"
paddle," n. 桨, 划桨, 明轮翼
v. 划桨, 戏水, 抚弄"
hollow," n. 洞, 窟窿, 山谷
adj. 空的, 虚伪的, 空腹的
vt. 形成空洞, 挖空
vi. 形成空洞
adv. 有闷哑声, 完全地"
cultivate," vt. 培养,耕作,栽培,结交(朋友), 促进增长, 教养"
pour," n. 流出,倾泻,骤雨
vt. &vi. 倒,倾泻,蜂拥而来"
object," n. 物, 物体, 目标, 宾语
v. 反对，提出...作为反对的理由"
inclusive," adj. 包含...在内的, 包罗广泛的, 包括端点的
[计算机] 包括的"
precious," adj. 宝贵的,珍贵的,矫揉造作的
adv. 极其地"
definition," n. 定义, 阐释，清晰度"
environmental, adj. 环境的
extension," n. 延长,扩充,范围,分机号码"
figure," n. 图形, 数字, 形状; 人物, 外形, 体型
v. 演算, 认为, 领会到"
reference," n. 参考, 出处, 参照
n. 推荐人, 推荐函
vt. 提供参考"
tile," n. 砖瓦
vt. 铺以瓦,铺以瓷砖"
violet," n. 紫罗兰, 紫色
adj. 紫色的"
territory," n. 领土, 版图, 领域, 范围"
calm," n. 平稳,风平浪静
adj. 平静的,冷静的
vt.&vi. 平静下来,镇静"
desolate," adj. 荒凉的，荒芜的
vt. 使荒芜"
courage, n. 勇气
preparation, n. 准备
colony," n. 侨民,侨居地,殖民地,聚居(地)"
attention," n. 注意(力),关心,立正"
particular," n. 个别项目, 详细说明
adj. 特别的, 独有的; 挑剔的; 详细的"
subsequent," adj. 随后的,后来的"
puff," n. 一阵喷烟,粉扑,泡夫
vt. 喷出,喘息,夸张,膨胀
vi. 喷出,膨胀,骄傲
adj. 吹嘘的"
reflect," v. 反映, 反射, 归咎"
brandy," n. 白兰地酒
vt. 以白兰地酒调制"
afterwards," adv. 以后, 后来"
quite," adv. 很,十分"
percentage," n. 百分率,比例,可能性"
bargain," n. 交易,买卖,物美价廉的东西
vi. 议价
vt. 议价交易"
tiger, n. 老虎
cap," n. 帽子,盖子,顶
vt. 给戴帽,覆盖顶端,超过,形成化学键于,抑制
vi. 形成化学键"
princess," n. 公主, 妃,贵妇
adj. (礼服)合身而好看的,有贵族气息的"
hesitation, n. 犹豫
famine," n. 饥荒, 极度缺乏"
establish," v. 建立, 确立, 创办"
safely, adv. 安全地
daring," adj. 大胆的
n. 冒险精神"
trap," n. 圈套,陷阱,困境,双轮轻便马车 
vt. &vi. 设圈套,设陷阱"
once," adv. 一次, 曾经
conj. 一旦
n. 一次
adj. 曾经的"
heroin, n. 海洛因
breast," n. 胸脯,乳房
vt. 挺胸迎...而上"
totally, adv. 完全
imagination," n. 想象,想象力,空想"
uncover," vt. 揭开,揭露"
lens," n. 镜头,透镜"
camera," n. 摄像机,照相机"
farthest," adj. 最远的, 最久的
adv. 最远地"
emphasize," v. 强调,着重
vt. 强调"
bacterium, n. 细菌
oriental," adj. 东方(人)的,贵重的"
immediate," adj. 立即的, 即刻的, 直接的, 最接近的"
overthrow," v. 推翻，打倒, 颠覆
n. 推翻, 瓦解, 颠覆"
truly," adv. 真实地, 不假"
seam," n. 缝；接缝
vt. 缝合；接合；使留下伤痕
vi. 裂开；产生裂缝"
festival," adj. 节日的,喜庆的,快乐的
n. 节日,庆祝及祭祀,欢宴"
conscious," adj. 神志清醒的,意识到的,自觉的,有意的
n. 意识"
smuggle," v. 偷运,走私,私运"
operation," n. 手术, 行动，活动, 操作"
procession, n.队伍，行列； 一列，一排； 列队行进
unsuitable, adj. 不适宜的，不合适的
solve," v. 解答(难题),解决
vt. 解答,解决"
footpath, n. 人行小径
Christian," adj. 基督教（徒）的，信奉基督教的，仁慈的
n. 基督教徒"
perish," vt. 毁减,死亡
vi. 毁灭"
behalf, n. 代表；利益
evaluate," vt. 评估,评价"
sheep," n. 羊, 绵羊"
quick," adj.快的，急速的； 聪明的，凌厉的； 灵活的； 短时间做成的
adv.迅速地，快速地
n.（指甲下的）活肉； 感情的中枢，感觉最敏锐的地方； 要害，核心"
wander," vt. 闲逛走过
vi. 游荡,漫步,流浪,蜿蜒曲折,离群失散,走神
n. 游荡,闲逛,流浪,离群失散"
mechanic," adj. 手工的
n. 技工,机修工"
rate," n. 比率, 等级, 价格
vt. 估价, 认为, 定等级; 责骂
vi. 受欢迎, 受推崇; 责骂"
loyal," adj. 忠诚的,忠心的
adv. 忠诚地,忠实地
n. 忠贞,忠诚,忠实"
pastime," n. 消遣,娱乐"
presume," vt. 姑且认定，假定，推测，认为是理所当然
vi. 假设，越权行事"
intelligent," adj. 聪明的, 智能的"
lonely," adj. 孤独的,寂寞的,荒凉的"
miserable," adj. 悲惨的,痛苦的,贫乏的"
frozen, adj. 冰冻的
risk," n.危险，冒险； 保险额； 被保险人或物
vt.冒…的危险； 使…冒风险（或面临危险）"
rigid," adj. 僵硬的,刻板的,严格的"
merit," n. 功绩, 价值，优点
v. 博得，值得或应得"
ditch," n. 沟渠
vt. 坠入沟中，摆脱，飞机（在海上）迫降
vi. 挖一条沟渠，飞机紧急降落"
numerous," adj. 为数众多的,许多"
flavor," n. 滋味, 香料, 风格
vt. 加味于"
Arabian," adj. 阿拉伯的，阿拉伯人的
n. 阿拉伯人, 阿拉伯马"
spread," n. 传布, 伸展
adj. 扩延的
v. 传布, 推广, 伸出"
clay," n. 粘土,泥土"
wooden, adj. 木制的，生硬笨拙的
hatch," n. 孵化,舱口
vt. 孵,孵出
vi. 孵化，破壳"
trend," n. 趋势,倾向,方位
vi. 倾向,转向"
outfit," n. 用具,配备,机构,全套服装
vt. 配备,供应
vi. 得到装备"
dispute," n. 争论; 争吵
vi. 争论, 争执
vt. 争论; 质疑; 争夺; 抵抗"
clarity," n. 清楚, 透明"
sticky," adj. 粘的,闷热的,困难的,令人不满意的"
violent," adj. 暴力的,猛烈的,极端的,曲解的"
pattern," n. 图案, 式样, 典范
v. 以图案装饰; 仿造, 模仿"
prosper," v. 兴隆,成功,使...昌盛"
belt," n. 带(状物),腰带
vi. 飞奔,大声唱
vt. 系上腰带,环绕,击打,大声唱"
swallow," n. 燕子, 吞咽, 一次吞咽的量
vt. 吞下, 咽下, 忍受, 不流露感情, 收回
vi. 咽口水, 忍气吞声"
liable," adj. 有义务的,应负责的,有...倾向"
detect," vt. 发现,探测信息,侦查
vi. 当侦探"
theater, n.剧场； 戏剧界； 戏剧效果； [军]战区
blog," 网络随笔, 日志
博客"
ape, n. 猿
slender," adj. 细长的, 苗条的, 微薄的, 少量的"
religion, n. 宗教;宗教信仰
nap," n. 小睡,绒毛表面
vi. 小睡,疏忽
vt. 使起毛"
vacant," adj. 空的,空虚的,木然的"
practice," n. 练习, 实行, 习惯; 业务
vt. &vi 练习, 实习, 开业"
concise," adj. 简明的, 简要的"
couch," n. 长椅,睡椅,卧榻,兽血
vt. 躺下,暗示
vi. 躺下,埋伏"
